"ref","movement","filename","relative_path","operational_status","delivery_mode","exists","width","height","dimensions_ok"
"REF_012","1","yoga_stress_012_001_tadasana_step_01_start.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_001_tadasana_step_01_start.png","CONFERIR / REUTILIZAR se Tadasana neutra existir","reuse_or_link","True","1536","1024","True"
"REF_012","1","yoga_stress_012_001_tadasana_step_02_entry.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_001_tadasana_step_02_entry.png","CONFERIR / REUTILIZAR se Tadasana neutra existir","reuse_or_link","True","1536","1024","True"
"REF_012","1","yoga_stress_012_001_tadasana_step_03_final.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_001_tadasana_step_03_final.png","CONFERIR / REUTILIZAR se Tadasana neutra existir","reuse_or_link","True","1536","1024","True"
"REF_012","1","yoga_stress_012_001_tadasana_step_04_common_mistake.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_001_tadasana_step_04_common_mistake.png","CONFERIR / REUTILIZAR se Tadasana neutra existir","reuse_or_link","True","1536","1024","True"
"REF_012","1","yoga_stress_012_001_tadasana_step_05_correction.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_001_tadasana_step_05_correction.png","CONFERIR / REUTILIZAR se Tadasana neutra existir","reuse_or_link","True","1536","1024","True"
"REF_012","2","yoga_stress_012_002_vrikshasana_step_01_start.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_002_vrikshasana_step_01_start.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","2","yoga_stress_012_002_vrikshasana_step_02_entry.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_002_vrikshasana_step_02_entry.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","2","yoga_stress_012_002_vrikshasana_step_03_transition.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_002_vrikshasana_step_03_transition.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","2","yoga_stress_012_002_vrikshasana_step_04_final.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_002_vrikshasana_step_04_final.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","2","yoga_stress_012_002_vrikshasana_step_05_common_mistake.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_002_vrikshasana_step_05_common_mistake.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","2","yoga_stress_012_002_vrikshasana_step_06_correction.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_002_vrikshasana_step_06_correction.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","3","yoga_stress_012_003_utkatasana_step_01_start.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_003_utkatasana_step_01_start.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","3","yoga_stress_012_003_utkatasana_step_02_entry.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_003_utkatasana_step_02_entry.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","3","yoga_stress_012_003_utkatasana_step_03_transition.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_003_utkatasana_step_03_transition.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","3","yoga_stress_012_003_utkatasana_step_04_final.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_003_utkatasana_step_04_final.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","3","yoga_stress_012_003_utkatasana_step_05_common_mistake.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_003_utkatasana_step_05_common_mistake.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","3","yoga_stress_012_003_utkatasana_step_06_correction.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_003_utkatasana_step_06_correction.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","4","yoga_stress_012_004_garudasana_step_01_start.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_004_garudasana_step_01_start.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","4","yoga_stress_012_004_garudasana_step_02_entry.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_004_garudasana_step_02_entry.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","4","yoga_stress_012_004_garudasana_step_03_transition.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_004_garudasana_step_03_transition.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","4","yoga_stress_012_004_garudasana_step_04_final.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_004_garudasana_step_04_final.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","4","yoga_stress_012_004_garudasana_step_05_common_mistake.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_004_garudasana_step_05_common_mistake.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
