"slug","title","duration_seconds","required_frame_count","missing_frame_count","existing_premium_frame_urls","existing_generated_frame_urls","video_url"
"missao-yoga-de-bolso-coluna-leve","Yoga de bolso: coluna leve","240","8","0","","/videos/frames/missao-yoga-de-bolso-coluna-leve/missao-yoga-de-bolso-coluna-leve-01.jpg|/videos/frames/missao-yoga-de-bolso-coluna-leve/missao-yoga-de-bolso-coluna-leve-02.jpg|/videos/frames/missao-yoga-de-bolso-coluna-leve/missao-yoga-de-bolso-coluna-leve-03.jpg|/videos/frames/missao-yoga-de-bolso-coluna-leve/missao-yoga-de-bolso-coluna-leve-04.jpg|/videos/frames/missao-yoga-de-bolso-coluna-leve/missao-yoga-de-bolso-coluna-leve-05.jpg|/videos/frames/missao-yoga-de-bolso-coluna-leve/missao-yoga-de-bolso-coluna-leve-06.jpg|/videos/frames/missao-yoga-de-bolso-coluna-leve/missao-yoga-de-bolso-coluna-leve-07.jpg|/videos/frames/missao-yoga-de-bolso-coluna-leve/missao-yoga-de-bolso-coluna-leve-08.jpg","/videos/missao-yoga-de-bolso-coluna-leve.mp4"
"agachamento-leve-guiado","Agachamento leve guiado","150","12","0","","/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-01.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-02.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-03.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-04.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-05.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-06.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-07.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-08.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-09.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-10.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-11.jpg|/videos/frames/agachamento-leve-guiado/agachamento-leve-guiado-12.jpg","/videos/agachamento-leve-guiado.mp4"
"ativacao-leve-3-minutos","Ativacao leve de 3 minutos","150","8","0","","/videos/frames/ativacao-leve-3-minutos/ativacao-leve-3-minutos-01.jpg|/videos/frames/ativacao-leve-3-minutos/ativacao-leve-3-minutos-02.jpg|/videos/frames/ativacao-leve-3-minutos/ativacao-leve-3-minutos-03.jpg|/videos/frames/ativacao-leve-3-minutos/ativacao-leve-3-minutos-04.jpg|/videos/frames/ativacao-leve-3-minutos/ativacao-leve-3-minutos-05.jpg|/videos/frames/ativacao-leve-3-minutos/ativacao-leve-3-minutos-06.jpg|/videos/frames/ativacao-leve-3-minutos/ativacao-leve-3-minutos-07.jpg|/videos/frames/ativacao-leve-3-minutos/ativacao-leve-3-minutos-08.jpg","/videos/ativacao-leve-3-minutos.mp4"
"caminhada-consciente-curta","Caminhada consciente curta","150","12","0","","/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-01.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-02.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-03.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-04.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-05.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-06.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-07.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-08.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-09.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-10.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-11.jpg|/videos/frames/caminhada-consciente-curta/caminhada-consciente-curta-12.jpg","/videos/caminhada-consciente-curta.mp4"
"celular-longe-da-cama","Celular longe da cama","60","8","0","","/videos/frames/celular-longe-da-cama/celular-longe-da-cama-01.jpg|/videos/frames/celular-longe-da-cama/celular-longe-da-cama-02.jpg|/videos/frames/celular-longe-da-cama/celular-longe-da-cama-03.jpg|/videos/frames/celular-longe-da-cama/celular-longe-da-cama-04.jpg|/videos/frames/celular-longe-da-cama/celular-longe-da-cama-05.jpg|/videos/frames/celular-longe-da-cama/celular-longe-da-cama-06.jpg|/videos/frames/celular-longe-da-cama/celular-longe-da-cama-07.jpg|/videos/frames/celular-longe-da-cama/celular-longe-da-cama-08.jpg","/videos/celular-longe-da-cama.mp4"
"funcional-em-casa-iniciante","Funcional em casa iniciante","150","12","0","","/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-01.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-02.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-03.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-04.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-05.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-06.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-07.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-08.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-09.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-10.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-11.jpg|/videos/frames/funcional-em-casa-iniciante/funcional-em-casa-iniciante-12.jpg","/videos/funcional-em-casa-iniciante.mp4"
"jumping-baixo-impacto","Jumping baixo impacto","150","12","0","","/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-01.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-02.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-03.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-04.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-05.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-06.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-07.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-08.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-09.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-10.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-11.jpg|/videos/frames/jumping-baixo-impacto/jumping-baixo-impacto-12.jpg","/videos/jumping-baixo-impacto.mp4"
"levantar-e-respirar","Levantar e respirar","150","8","0","","/videos/frames/levantar-e-respirar/levantar-e-respirar-01.jpg|/videos/frames/levantar-e-respirar/levantar-e-respirar-02.jpg|/videos/frames/levantar-e-respirar/levantar-e-respirar-03.jpg|/videos/frames/levantar-e-respirar/levantar-e-respirar-04.jpg|/videos/frames/levantar-e-respirar/levantar-e-respirar-05.jpg|/videos/frames/levantar-e-respirar/levantar-e-respirar-06.jpg|/videos/frames/levantar-e-respirar/levantar-e-respirar-07.jpg|/videos/frames/levantar-e-respirar/levantar-e-respirar-08.jpg","/videos/levantar-e-respirar.mp4"
"luta-sombra-leve","Luta sombra leve","150","12","0","","/videos/frames/luta-sombra-leve/luta-sombra-leve-01.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-02.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-03.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-04.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-05.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-06.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-07.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-08.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-09.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-10.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-11.jpg|/videos/frames/luta-sombra-leve/luta-sombra-leve-12.jpg","/videos/luta-sombra-leve.mp4"
"marcha-leve-parada","Marcha leve parada","150","12","0","","/videos/frames/marcha-leve-parada/marcha-leve-parada-01.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-02.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-03.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-04.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-05.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-06.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-07.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-08.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-09.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-10.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-11.jpg|/videos/frames/marcha-leve-parada/marcha-leve-parada-12.jpg","/videos/marcha-leve-parada.mp4"
"mobilidade-pescoco-ombros","Mobilidade de pescoco e ombros","150","8","0","","/videos/frames/mobilidade-pescoco-ombros/mobilidade-pescoco-ombros-01.jpg|/videos/frames/mobilidade-pescoco-ombros/mobilidade-pescoco-ombros-02.jpg|/videos/frames/mobilidade-pescoco-ombros/mobilidade-pescoco-ombros-03.jpg|/videos/frames/mobilidade-pescoco-ombros/mobilidade-pescoco-ombros-04.jpg|/videos/frames/mobilidade-pescoco-ombros/mobilidade-pescoco-ombros-05.jpg|/videos/frames/mobilidade-pescoco-ombros/mobilidade-pescoco-ombros-06.jpg|/videos/frames/mobilidade-pescoco-ombros/mobilidade-pescoco-ombros-07.jpg|/videos/frames/mobilidade-pescoco-ombros/mobilidade-pescoco-ombros-08.jpg","/videos/mobilidade-pescoco-ombros.mp4"
"mobilidade-rapida-coluna","Mobilidade rapida para coluna","150","8","0","","/videos/frames/mobilidade-rapida-coluna/mobilidade-rapida-coluna-01.jpg|/videos/frames/mobilidade-rapida-coluna/mobilidade-rapida-coluna-02.jpg|/videos/frames/mobilidade-rapida-coluna/mobilidade-rapida-coluna-03.jpg|/videos/frames/mobilidade-rapida-coluna/mobilidade-rapida-coluna-04.jpg|/videos/frames/mobilidade-rapida-coluna/mobilidade-rapida-coluna-05.jpg|/videos/frames/mobilidade-rapida-coluna/mobilidade-rapida-coluna-06.jpg|/videos/frames/mobilidade-rapida-coluna/mobilidade-rapida-coluna-07.jpg|/videos/frames/mobilidade-rapida-coluna/mobilidade-rapida-coluna-08.jpg","/videos/mobilidade-rapida-coluna.mp4"
"pausa-consciente-trabalho","Pausa consciente no trabalho","90","8","0","","/videos/frames/pausa-consciente-trabalho/pausa-consciente-trabalho-01.jpg|/videos/frames/pausa-consciente-trabalho/pausa-consciente-trabalho-02.jpg|/videos/frames/pausa-consciente-trabalho/pausa-consciente-trabalho-03.jpg|/videos/frames/pausa-consciente-trabalho/pausa-consciente-trabalho-04.jpg|/videos/frames/pausa-consciente-trabalho/pausa-consciente-trabalho-05.jpg|/videos/frames/pausa-consciente-trabalho/pausa-consciente-trabalho-06.jpg|/videos/frames/pausa-consciente-trabalho/pausa-consciente-trabalho-07.jpg|/videos/frames/pausa-consciente-trabalho/pausa-consciente-trabalho-08.jpg","/videos/pausa-consciente-trabalho.mp4"
"pausa-de-energia","Pausa de energia","150","8","0","","/videos/frames/pausa-de-energia/pausa-de-energia-01.jpg|/videos/frames/pausa-de-energia/pausa-de-energia-02.jpg|/videos/frames/pausa-de-energia/pausa-de-energia-03.jpg|/videos/frames/pausa-de-energia/pausa-de-energia-04.jpg|/videos/frames/pausa-de-energia/pausa-de-energia-05.jpg|/videos/frames/pausa-de-energia/pausa-de-energia-06.jpg|/videos/frames/pausa-de-energia/pausa-de-energia-07.jpg|/videos/frames/pausa-de-energia/pausa-de-energia-08.jpg","/videos/pausa-de-energia.mp4"
"pausa-foco-sem-impacto","Pausa de foco sem impacto","90","8","0","","/videos/frames/pausa-foco-sem-impacto/pausa-foco-sem-impacto-01.jpg|/videos/frames/pausa-foco-sem-impacto/pausa-foco-sem-impacto-02.jpg|/videos/frames/pausa-foco-sem-impacto/pausa-foco-sem-impacto-03.jpg|/videos/frames/pausa-foco-sem-impacto/pausa-foco-sem-impacto-04.jpg|/videos/frames/pausa-foco-sem-impacto/pausa-foco-sem-impacto-05.jpg|/videos/frames/pausa-foco-sem-impacto/pausa-foco-sem-impacto-06.jpg|/videos/frames/pausa-foco-sem-impacto/pausa-foco-sem-impacto-07.jpg|/videos/frames/pausa-foco-sem-impacto/pausa-foco-sem-impacto-08.jpg","/videos/pausa-foco-sem-impacto.mp4"
"pular-corda-iniciante","Pular corda iniciante","150","12","0","","/videos/frames/pular-corda-iniciante/pular-corda-iniciante-01.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-02.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-03.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-04.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-05.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-06.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-07.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-08.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-09.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-10.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-11.jpg|/videos/frames/pular-corda-iniciante/pular-corda-iniciante-12.jpg","/videos/pular-corda-iniciante.mp4"
